Year,VisaType,MajorGrouping,NOMArrival,NOMDeparture,NOM
,,S/E & humanitarian,9280,130,9150
,,Other permanent visas,4170,5280,-1110
,NZ Citizen,,59340,15950,43400
,AUS Citizen,,76640,85450,-8810
,Other,,15650,10290,5370
,Total,,449020,242780,206240
2012,Temporary visas,,235590,110750,124850
,,VET,9280,8160,1110
,,Higher education sector,48130,29490,18640
,,Student other,21200,8210,12990
,,Temporary work skilled,48400,15880,32520
,,Visitor,43990,11610,32380
,,Working Holiday,57450,18600,38840
,,Other temporary visas,7160,18800,-11630
,Permanent visas,,85100,18590,66510
,,Family,34030,5460,28580
,,Skill,40430,7630,32800
,,S/E & humanitarian,6100,150,5950
,,Other permanent visas,4540,5350,-810
,NZ Citizen,,60290,18240,42050
,AUS Citizen,,75870,82420,-6540
,Other,,21500,8120,13380
,Total,,478350,238110,240250
2013,Temporary visas,,251390,126100,125290
,,VET,9100,7840,1260
,,Higher education sector,66580,26870,39700
,,Student other,24000,9110,14890
,,Temporary work skilled,37350,20690,16660
,,Visitor,48160,16520,31640
,,Working Holiday,58800,23700,35100
,,Other temporary visas,7400,21360,-13960
,Permanent visas,,94290,19150,75150
,,Family,37210,5680,31530
,,Skill,38510,7610,30900
,,S/E & humanitarian,13260,150,13110
,,Other permanent visas,5320,5710,-380
,NZ Citizen,,45750,23350,22410
,AUS Citizen,,75810,90450,-14640
,Other,,11440,11260,180
,Total,,478680,270310,208380
2014,Temporary visas,,258520,128190,130320
,,VET,10150,8510,1640
,,Higher education sector,86880,25630,61240
,,Student other,25460,10490,14970
,,Temporary work skilled,31040,22230,8810
,,Visitor,45960,11140,34820
,,Working Holiday,51820,28260,23560
,,Other temporary visas,7210,21940,-14730
,Permanent visas,,89290,20360,68930
,,Family,31770,5820,25950
,,Skill,40560,8300,32260
,,S/E & humanitarian,11630,150,11480
,,Other permanent visas,5330,6090,-750
,NZ Citizen,,33780,26380,7390
,AUS Citizen,,71300,93720,-22410
,Other,,5870,7760,-1880
,Total,,458760,276410,182350
2015,Temporary visas,,270650,128870,141780
,,VET,13330,8880,4450
,,Higher education sector,85420,24440,60970
,,Student other,27240,10370,16870
,,Temporary work skilled,31610,20300,11310
,,Visitor,54160,15510,38660
,,Working Holiday,50910,28040,22870
,,Other temporary visas,7990,21340,-13340
,Permanent visas,,89750,21530,68220
,,Family,31890,6090,25800
,,Skill,42610,8860,33750
,,S/E & humanitarian,9410,140,9260
,,Other permanent visas,5840,6430,-580
,NZ Citizen,,31470,27730,3740
,AUS Citizen,,73120,99520,-26400
,Other,,8250,8870,-610
,Total,,473250,286520,186730
2016,Temporary visas,,295760,127470,168290
,,VET,15870,10090,5780
,,Higher education sector,93620,24760,68860
,,Student other,28380,10540,17840
,,Temporary work skilled,31170,17020,14160
,,Visitor,68040,15370,52670
,,Working Holiday,49600,27490,22110
,,Other temporary visas,9090,22200,-13110
,Permanent visas,,103730,20460,83270
,,Family,31260,5590,25670
,,Skill,43680,8070,35610
,,S/E & humanitarian,22620,140,22480
,,Other permanent visas,6180,6660,-480
,NZ Citizen,,34860,26690,8170
,AUS Citizen,,78670,94980,-16310
,Other,,6640,6230,410
,Total,,519650,275820,243830
2017,Temporary visas,,321110,140010,181090
,,VET,16260,13440,2820
,,Higher education sector,102960,29090,73860
,,Student other,32730,9210,23520
,,Temporary work skilled,30260,15350,14910
,,Visitor,77230,22870,54360
,,Working Holiday,50590,23280,27310
,,Other temporary visas,11080,26770,-15680
,Permanent visas,,94480,20670,73810
,,Family,28050,5610,22440
,,Skill,45210,8070,37150
,,S/E & humanitarian,14940,140,14800
,,Other permanent visas,6280,6860,-570
,NZ Citizen,,30390,24150,6250
,AUS Citizen,,78810,92460,-13650
,Other,,6580,12420,-5830
,Total,,531370,289710,241660
2018,Temporary visas,,337920,144660,193260
,,VET,24130,16240,7890
,,Higher education sector,112140,34380,77760
,,Student other,30380,9320,21070
,,Temporary work skilled,29390,15230,14160
,,Visitor,78280,14490,63780
,,Working Holiday,50390,23500,26890
,,Other temporary visas,13220,31500,-18280
,Permanent visas,,85100,20440,64660
,,Family,25170,5560,19610
,,Skill,40910,7350,33570
,,S/E & humanitarian,12690,160,12520
,,Other permanent visas,6320,7370,-1040
,NZ Citizen,,30840,21400,9440
,AUS Citizen,,75990,85480,-9490
,Other,,4560,10200,-5640
,Total,,534400,282180,252220
2019,Temporary visas,,385850,212100,173740
,,VET,18740,19270,-530
,,Higher education sector,101910,66790,35110
,,Student other,30010,12750,17260
,,Temporary work skilled,31900,16190,15710
,,Visitor,132390,32110,100280
,,Working Holiday,52050,26850,25200
,,Other temporary visas,18860,38150,-19280
,Permanent visas,,91240,27010,64220
,,Family,24940,7020,17910
,,Skill,37050,9130,27920
,,S/E & humanitarian,18160,150,18020
,,Other permanent visas,11090,10710,380
,NZ Citizen,,30410,24070,6340
,AUS Citizen,,95020,83590,11430
,Other,,5360,13480,-8110
,Total,,607870,360250,247620
