Time Period,Time Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
·  Victoria,,"19,730","20,110","27,930","36,020","44,270","36,760","19,070","23,210","28,540","26,370","27,460","29,890","40,160","42,960","45,870","41,890","-12,600","-3,880",
·  Queensland,,"12,470","14,360","18,900","23,330","32,870","23,330","14,130","20,300","24,180","15,380","9,860","6,860","14,370","10,520","14,710","14,800",-900,-390,
·  South Australia,,"3,770","5,090","6,390","6,710","8,980","8,750","4,930","4,860","5,730","5,660","4,960","4,860","5,420","5,560","6,850","7,770","1,800",410,
·  Western Australia,,"8,120","11,050","14,260","17,520","25,440","16,400","17,060","22,860","26,200","12,430","6,020","4,010","3,950","3,920","6,060","11,330","1,740",-970,
·  Tasmania,,640,500,600,710,"1,030",880,540,570,820,820,710,600,"1,070","1,180","1,440","1,880",410,"1,020",
·  Northern Territory,,870,820,-170,610,980,730,400,980,"2,200","1,620",240,530,870,360,-170,-150,-100,280,
·  Australian Capital Territory,,620,360,660,950,"1,760","1,770",880,"1,430","1,570","1,130","1,470","1,520","1,710","2,030","1,710",870,-460,-550,
Sex: Females,,,,,,,,,,,,,,,,,,,,
Measure: NOM arrivals,,,,,,,,,,,,,,,,,,,,
Unit of measure: Number,,,,,,,,,,,,,,,,,,,,
Australia,,"168,630","173,450","190,800","215,020","253,150","231,190","209,340","219,900","231,230","238,260","227,230","237,900","260,760","263,680","263,140","306,020","119,530","102,140",
·  New South Wales,,"62,340","63,310","67,880","73,810","85,290","76,570","70,220","70,600","71,960","79,190","78,110","82,540","93,920","95,270","94,420","105,240","46,390","42,520",
·  Victoria,,"40,920","41,030","45,590","52,960","62,430","59,510","51,920","55,060","57,180","61,670","61,880","67,140","75,450","78,960","79,290","93,320","30,750","28,500",
·  Queensland,,"32,600","33,200","36,980","43,040","50,450","45,140","40,580","42,500","44,670","43,210","39,260","40,390","43,610","43,910","44,280","51,390","19,200","14,510",
·  South Australia,,"7,840","9,320","11,030","11,500","13,210","12,950","11,100","10,520","11,230","11,830","11,450","12,060","12,260","12,020","12,400","15,630","6,390","4,260",
·  Western Australia,,"19,260","20,900","23,130","27,090","33,890","28,720","28,010","32,830","36,670","32,860","27,160","26,250","25,340","23,150","22,330","28,600","12,050","7,370",
·  Tasmania,,"1,680","1,640","1,720","1,730","2,060","2,080","1,830","1,770","1,860","2,100","2,190","2,050","2,340","2,510","2,810","3,600","1,250","1,340",
·  Northern Territory,,"1,420","1,260","1,520","1,760","2,010","2,050","2,040","2,470","3,130","2,990","2,560","2,730","2,750","2,460","2,240","2,690",990,"1,280",
·  Australian Capital Territory,,"2,570","2,800","2,960","3,150","3,820","4,170","3,660","4,150","4,540","4,410","4,630","4,750","5,090","5,370","5,350","5,550","2,500","2,340",
Sex: Females,,,,,,,,,,,,,,,,,,,,
Measure: NOM departures,,,,,,,,,,,,,,,,,,,,
Unit of measure: Number,,,,,,,,,,,,,,,,,,,,
Australia,,"98,390","92,230","91,640","97,310","103,200","106,930","117,150","112,730","110,640","123,940","127,830","133,220","130,140","136,240","133,710","174,180","115,370","101,590",
·  New South Wales,,"38,730","36,180","35,620","37,370","39,270","40,400","43,010","41,300","39,250","42,270","41,970","43,490","43,370","48,050","47,860","63,330","40,420","36,770",
·  Victoria,,"21,570","20,970","21,160","22,510","23,480","24,180","27,770","27,200","26,970","29,540","30,950","32,830","32,700","34,790","35,620","50,140","38,520","31,620",
·  Queensland,,"19,140","17,760","17,490","18,690","20,480","21,140","23,030","21,880","21,580","25,130","26,090","27,770","25,550","26,790","25,250","32,270","19,310","16,280",
·  South Australia,,"4,220","3,880","4,000","4,380","4,570","4,530","5,130","4,940","5,080","5,350","5,440","5,670","5,570","5,480","5,280","6,760","4,130","4,040",
·  Western Australia,,"10,490","9,380","9,310","10,180","11,140","12,280","13,170","12,410","12,900","16,230","17,670","17,510","17,330","15,370","13,850","14,420","8,600","8,570",
·  Tasmania,,"1,030",910,930,970,"1,000","1,040","1,140","1,100","1,090","1,130","1,170","1,240","1,130","1,120","1,080","1,510","1,020",820,
·  Northern Territory,,"1,050",960,"1,010",990,"1,020","1,090","1,350","1,380","1,220","1,410","1,660","1,710","1,530","1,570","1,520","1,550",830,780,
·  Australian Capital Territory,,"2,160","2,190","2,110","2,220","2,250","2,270","2,540","2,530","2,560","2,890","2,890","2,990","2,950","3,050","3,240","4,190","2,520","2,700",
Sex: Females,,,,,,,,,,,,,,,,,,,,
Measure: Net Overseas Migration,,,,,,,,,,,,,,,,,,,,
Unit of measure: Number,,,,,,,,,,,,,,,,,,,,
Australia,,"70,240","81,220","99,160","117,710","149,950","124,260","92,190","107,170","120,580","114,320","99,410","104,690","130,620","127,440","129,430","131,840","4,160",550,
·  New South Wales,,"23,620","27,130","32,250","36,440","46,020","36,160","27,210","29,310","32,710","36,930","36,140","39,050","50,550","47,230","46,560","41,900","5,970","5,750",
·  Victoria,,"19,350","20,060","24,420","30,450","38,950","35,330","24,150","27,860","30,210","32,130","30,930","34,300","42,740","44,170","43,670","43,180","-7,780","-3,120",
·  Queensland,,"13,470","15,440","19,490","24,350","29,970","24,000","17,540","20,620","23,080","18,080","13,180","12,620","18,050","17,110","19,020","19,110",-120,"-1,770",
·  South Australia,,"3,620","5,440","7,030","7,120","8,640","8,430","5,960","5,570","6,140","6,480","6,010","6,390","6,690","6,540","7,110","8,870","2,260",220,
·  Western Australia,,"8,770","11,530","13,810","16,900","22,750","16,440","14,830","20,420","23,770","16,640","9,490","8,730","8,010","7,790","8,490","14,180","3,450","-1,210",
·  Tasmania,,650,730,790,760,"1,060","1,040",690,680,770,970,"1,010",820,"1,210","1,390","1,730","2,090",230,520,
·  Northern Territory,,360,300,510,770,990,970,690,"1,090","1,920","1,580",900,"1,020","1,220",880,720,"1,140",160,500,
·  Australian Capital Territory,,410,610,850,930,"1,570","1,900","1,120","1,620","1,990","1,520","1,740","1,750","2,140","2,320","2,110","1,370",-20,-360,
,,,,,,,,,,,,,,,,,,,,
© Terms & conditions,,,,,,,,,,,,,,,,,,,,"Net overseas migration, Arrivals, departures and net, State/territory, Age and sex - Calendar years, 2004 onwards"
